Date,cli
1955-01-01,101.5655
1955-02-01,101.9424
1955-03-01,102.2541
1955-04-01,102.473
1955-05-01,102.5989
1955-06-01,102.6396
1955-07-01,102.6403
1955-08-01,102.6227
1955-09-01,102.5927
1955-10-01,102.5332
1955-11-01,102.4087
1955-12-01,102.1933
1956-01-01,101.8799
1956-02-01,101.5168
1956-03-01,101.1618
1956-04-01,100.8309
1956-05-01,100.5443
1956-06-01,100.3478
1956-07-01,100.2774
1956-08-01,100.3343
1956-09-01,100.4603
1956-10-01,100.5934
1956-11-01,100.6813
1956-12-01,100.6736
1957-01-01,100.55
1957-02-01,100.3577
1957-03-01,100.102
1957-04-01,99.82335
1957-05-01,99.55188
1957-06-01,99.26142
1957-07-01,98.91628
1957-08-01,98.49399
1957-09-01,97.99809
1957-10-01,97.47687
1957-11-01,97.00513
1957-12-01,96.64066
1958-01-01,96.44889
1958-02-01,96.46736
1958-03-01,96.69016
1958-04-01,97.09078
1958-05-01,97.65231
1958-06-01,98.32206
1958-07-01,99.02945
1958-08-01,99.72852
1958-09-01,100.3989
1958-10-01,101.0414
1958-11-01,101.6431
1958-12-01,102.1914
1959-01-01,102.6865
1959-02-01,103.0811
1959-03-01,103.3307
1959-04-01,103.4086
1959-05-01,103.3068
1959-06-01,103.037
1959-07-01,102.6447
1959-08-01,102.2098
1959-09-01,101.8084
1959-10-01,101.4854
1959-11-01,101.2479
1959-12-01,101.0606
1960-01-01,100.8208
1960-02-01,100.4951
1960-03-01,100.135
1960-04-01,99.79511
1960-05-01,99.49854
1960-06-01,99.2399
1960-07-01,98.99693
1960-08-01,98.76708
1960-09-01,98.53993
1960-10-01,98.34553
1960-11-01,98.21906
1960-12-01,98.19785
1961-01-01,98.30197
1961-02-01,98.55282
1961-03-01,98.93563
1961-04-01,99.395
1961-05-01,99.8631
1961-06-01,100.298
1961-07-01,100.6719
1961-08-01,100.9768
1961-09-01,101.1985
1961-10-01,101.3348
1961-11-01,101.3921
1961-12-01,101.3567
1962-01-01,101.2202
1962-02-01,101.0018
1962-03-01,100.7043
1962-04-01,100.3557
1962-05-01,100.0037
1962-06-01,99.6972
1962-07-01,99.48585
1962-08-01,99.37902
1962-09-01,99.37437
1962-10-01,99.45718
1962-11-01,99.60776
1962-12-01,99.78925
1963-01-01,99.96874
1963-02-01,100.1245
1963-03-01,100.2475
1963-04-01,100.3337
1963-05-01,100.3664
1963-06-01,100.3455
1963-07-01,100.2942
1963-08-01,100.2412
1963-09-01,100.2124
1963-10-01,100.2033
1963-11-01,100.2086
1963-12-01,100.2428
1964-01-01,100.3179
1964-02-01,100.4098
1964-03-01,100.5113
1964-04-01,100.6117
1964-05-01,100.7036
1964-06-01,100.7863
1964-07-01,100.8551
1964-08-01,100.9009
1964-09-01,100.9463
1964-10-01,100.9973
1964-11-01,101.0715
1964-12-01,101.1602
1965-01-01,101.2386
1965-02-01,101.285
1965-03-01,101.2862
1965-04-01,101.2383
1965-05-01,101.1612
1965-06-01,101.0899
1965-07-01,101.0644
1965-08-01,101.1059
1965-09-01,101.2213
1965-10-01,101.3979
1965-11-01,101.6071
1965-12-01,101.8073
1966-01-01,101.9485
1966-02-01,101.9815
1966-03-01,101.879
1966-04-01,101.644
1966-05-01,101.3033
1966-06-01,100.9223
1966-07-01,100.5327
1966-08-01,100.1556
1966-09-01,99.79601
1966-10-01,99.44834
1966-11-01,99.12685
1966-12-01,98.85332
1967-01-01,98.65413
1967-02-01,98.54817
1967-03-01,98.56765
1967-04-01,98.71645
1967-05-01,98.98045
1967-06-01,99.30944
1967-07-01,99.66145
1967-08-01,100.0004
1967-09-01,100.2918
1967-10-01,100.5229
1967-11-01,100.6892
1967-12-01,100.7922
1968-01-01,100.8286
1968-02-01,100.8309
1968-03-01,100.8217
1968-04-01,100.8136
1968-05-01,100.8146
1968-06-01,100.8397
1968-07-01,100.9038
1968-08-01,101.0193
1968-09-01,101.1862
1968-10-01,101.3527
1968-11-01,101.4572
1968-12-01,101.4781
1969-01-01,101.4201
1969-02-01,101.2921
1969-03-01,101.1046
1969-04-01,100.8593
1969-05-01,100.5624
1969-06-01,100.2621
1969-07-01,99.99646
1969-08-01,99.77544
1969-09-01,99.57458
1969-10-01,99.35665
1969-11-01,99.10065
1969-12-01,98.80211
1970-01-01,98.46991
1970-02-01,98.14063
1970-03-01,97.84634
1970-04-01,97.61501
1970-05-01,97.47787
1970-06-01,97.42626
1970-07-01,97.42912
1970-08-01,97.47715
1970-09-01,97.58961
1970-10-01,97.80067
1970-11-01,98.15065
1970-12-01,98.63046
1971-01-01,99.1525
1971-02-01,99.61845
1971-03-01,99.96605
1971-04-01,100.1916
1971-05-01,100.3064
1971-06-01,100.3453
1971-07-01,100.3524
1971-08-01,100.3754
1971-09-01,100.4635
1971-10-01,100.6529
1971-11-01,100.9581
1971-12-01,101.3588
1972-01-01,101.7785
1972-02-01,102.1533
1972-03-01,102.4466
1972-04-01,102.6624
1972-05-01,102.8278
1972-06-01,102.9738
1972-07-01,103.1393
1972-08-01,103.3495
1972-09-01,103.5818
1972-10-01,103.799
1972-11-01,103.9713
1972-12-01,104.0601
1973-01-01,104.0392
1973-02-01,103.8966
1973-03-01,103.6288
1973-04-01,103.2548
1973-05-01,102.8166
1973-06-01,102.368
1973-07-01,101.9569
1973-08-01,101.6194
1973-09-01,101.3599
1973-10-01,101.1539
1973-11-01,100.9491
1973-12-01,100.7259
1974-01-01,100.4946
1974-02-01,100.2276
1974-03-01,99.90304
1974-04-01,99.50374
1974-05-01,99.03817
1974-06-01,98.52117
1974-07-01,97.9682
1974-08-01,97.3834
1974-09-01,96.77905
1974-10-01,96.21266
1974-11-01,95.73516
1974-12-01,95.41777
1975-01-01,95.32441
1975-02-01,95.44345
1975-03-01,95.74028
1975-04-01,96.17815
1975-05-01,96.68894
1975-06-01,97.22449
1975-07-01,97.75266
1975-08-01,98.2472
1975-09-01,98.70624
1975-10-01,99.14211
1975-11-01,99.56843
1975-12-01,99.99328
1976-01-01,100.3995
1976-02-01,100.7417
1976-03-01,100.9852
1976-04-01,101.131
1976-05-01,101.1932
1976-06-01,101.2011
1976-07-01,101.1798
1976-08-01,101.1472
1976-09-01,101.1338
1976-10-01,101.1647
1976-11-01,101.2656
1976-12-01,101.4293
1977-01-01,101.6233
1977-02-01,101.8221
1977-03-01,101.9965
1977-04-01,102.112
1977-05-01,102.1611
1977-06-01,102.1445
1977-07-01,102.0751
1977-08-01,101.9757
1977-09-01,101.8757
1977-10-01,101.7923
1977-11-01,101.7273
1977-12-01,101.6864
1978-01-01,101.6814
1978-02-01,101.7227
1978-03-01,101.8457
1978-04-01,102.0198
1978-05-01,102.1963
1978-06-01,102.3294
1978-07-01,102.393
1978-08-01,102.377
1978-09-01,102.2835
1978-10-01,102.1204
1978-11-01,101.9109
1978-12-01,101.6944
1979-01-01,101.5032
1979-02-01,101.3181
1979-03-01,101.106
1979-04-01,100.8523
1979-05-01,100.5756
1979-06-01,100.2883
1979-07-01,100.0044
1979-08-01,99.73663
1979-09-01,99.47462
1979-10-01,99.19714
1979-11-01,98.90178
1979-12-01,98.59602
1980-01-01,98.28186
1980-02-01,97.94138
1980-03-01,97.61811
1980-04-01,97.44297
1980-05-01,97.51235
